"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024490194",4,2024-05-02 08:51:00.000,2024-05-03 19:21:34.696
"2024207083",6,2024-05-10 00:01:00.000,2024-05-13 14:16:39.423
"2024487327",6,2024-05-02 00:01:00.000,2024-05-03 13:16:37.274
"2024488492",3,2024-05-03 08:08:00.000,2024-05-06 17:20:52.007
"2024490187",3,2024-05-02 08:54:00.000,2024-05-03 19:21:28.308
"2024216321",6,2024-05-28 08:14:00.000,2024-05-30 18:31:39.403
"2024488175",3,2024-05-03 08:12:00.000,2024-05-06 17:19:24.782
"2024225806",6,2024-05-23 00:01:00.000,2024-05-24 13:17:03.117
"2024207537",3,2024-05-10 08:12:00.000,2024-05-13 22:24:42.203
"2024488604",3,2024-05-03 08:12:00.000,2024-05-06 17:21:32.583
"2024001111",6,2024-05-29 02:20:00.000,2024-05-31 19:16:04.612
"2024203451",6,2024-05-27 23:21:00.000,2024-05-31 19:20:01.986
"2024203545",4,2024-05-27 14:54:00.000,2024-05-31 19:21:01.148
"2024484018",3,2024-05-07 09:11:00.000,2024-05-08 19:16:45.190
"2024486703",3,2024-05-02 08:55:00.000,2024-05-03 19:17:40.217
"2024487909",3,2024-05-03 08:12:00.000,2024-05-06 17:18:40.643
"2024486886",3,2024-05-02 08:55:00.000,2024-05-03 19:18:40.743
"2024486976",6,2024-05-02 08:55:00.000,2024-05-03 19:19:26.666
"2024488130",3,2024-05-03 08:12:00.000,2024-05-06 17:19:17.111
"2024486647",3,2024-05-02 08:55:00.000,2024-05-03 19:17:08.078
"2024488720",4,2024-05-03 08:12:00.000,2024-05-06 17:22:40.145
"2024486696",6,2024-05-02 08:55:00.000,2024-05-03 19:17:34.705
"2024490294",3,2024-05-02 08:57:00.000,2024-05-03 19:22:02.623
"2024486855",3,2024-05-02 08:56:00.000,2024-05-03 19:18:25.883
"2024486901",3,2024-05-02 08:55:00.000,2024-05-03 19:18:46.854
"2024490321",3,2024-05-02 08:56:00.000,2024-05-03 19:22:09.748
"2024486962",6,2024-05-02 08:55:00.000,2024-05-03 19:19:08.738
"2024488692",3,2024-05-03 16:52:00.000,2024-05-09 17:21:19.679
"2024219285",3,2024-05-28 08:15:00.000,2024-05-30 18:38:07.645
"2024207076",6,2024-05-10 00:01:00.000,2024-05-13 14:16:33.989
"2024490003",3,2024-05-02 08:58:00.000,2024-05-03 19:20:10.263
"2024490127",6,2024-05-02 08:58:00.000,2024-05-03 19:20:46.551
"2024487637",3,2024-05-03 15:57:00.000,2024-05-09 15:19:25.323
